product_A,price_A,tier_A,product_B,price_B,tier_B,pair_sales_count,avg_buyer_score,high_intent_ratio,bundle_strategy_type
Google PNW Campus Mug,10.531,Low,Google PNW Campus Zip Hoodie,50.775,High,5,5322.5,100,Add-on Strategy (업셀링)
Google Pen Bright Blue,1.998,Low,Google Perk Thermal Tumbler,19.848,Mid,5,7154.2,100,General Bundle
Google Pen Citron,1.967,Low,Google Pen Neon Coral,1.947,Low,5,9391.6,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen Lilac,1.897,Low,5,6478.6,100,General Bundle
Google Pen Lilac,1.897,Low,Google Pen White,2,Low,5,5139.8,100,General Bundle
Google Pen Lilac,1.897,Low,Google Pen Red,1.907,Low,5,6366.8,100,General Bundle
Google Pen Neon Coral,1.947,Low,Google Pen Red,1.907,Low,5,7291.6,100,General Bundle
Google Pen Red,1.907,Low,Google Pen White,2,Low,5,5546.4,100,General Bundle
Google Toddler FC Zip Hoodie,34.96,High,Google Zip Hoodie F/C,59.99,High,5,3002,100,Premium Set (VIP 타겟)
Google Zip Hoodie F/C,59.99,High,Noogler Android Figure,15.997,Low,5,4828.4,100,Add-on Strategy (업셀링)
YouTube Icon Tee Charcoal,21.983,Mid,YouTube Jotter Task Pad,2.999,Low,5,2737.8,100,General Bundle
#IamRemarkable Ladies T-Shirt,11.997,Low,Google Red Speckled Tee,29.944,High,4,5281.8,100,Add-on Strategy (업셀링)
Android Buoy Bottle,7.869,Low,Android Iconic Hat Black,15.904,Low,4,4290.5,100,General Bundle
Android Iconic Socks,17,Mid,Google Crew Socks,15.996,Low,4,2958,100,General Bundle
Android Large Removable Sticker Sheet,2.999,Low,Google Emoji Sticker Pack,4.999,Low,4,2239.8,100,General Bundle
Android Pocket Onesie Navy,22,Mid,Google Infant Hero Onesie Grey,20.842,Mid,4,1094.8,100,Volume Builder (크로스셀링)
Android Pocket Tee Green,28.082,Mid,Android Pocket Tee Navy,28.766,Mid,4,2162.3,100,Volume Builder (크로스셀링)
Android Pocket Toddler Tee Navy,22.998,Mid,Google Toddler FC Zip Hoodie,34.96,High,4,4966,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Clear Pen 4-Pack,4.947,Low,4,6650,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Noogler Android Figure,15.997,Low,4,3673.3,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,4675.3,100,General Bundle
Google 24oz Ring Bottle Blue,6.993,Low,Google Perk Thermal Tumbler,19.848,Mid,4,4464.5,100,General Bundle
Google Austin Campus Lapel Pin,5.174,Low,Google Austin Campus Mug,10.511,Low,4,3011.5,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Kirkland Campus Mug,10.934,Low,4,8126.8,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google NYC Campus Sticker,1.994,Low,4,5508,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google LA Campus Sticker,1.972,Low,4,7930,100,General Bundle
Google Austin Campus Tote,10.442,Low,Google Austin Campus Zip Hoodie,56.495,High,4,4560.5,100,Add-on Strategy (업셀링)
Google Badge Heavyweight Pullover Black,57.947,High,Google Heathered Pom Beanie,14.996,Low,4,4348,100,Add-on Strategy (업셀링)
Google Badge Heavyweight Pullover Black,57.947,High,Google Camp Mug Ivory,12.93,Low,4,2848.3,100,Add-on Strategy (업셀링)
Google Badge Heavyweight Pullover Black,57.947,High,Google Land & Sea Cotton Cap,16.999,Mid,4,3493,100,General Bundle
Google Badge Heavyweight Pullover Black,57.947,High,Google NYC Campus Zip Hoodie,54.226,High,4,5046.2,100,Premium Set (VIP 타겟)
Google Beekeepers Tee Mint,24.844,Mid,Google Heathered Pom Beanie,14.996,Low,4,2517,100,General Bundle
Google Bellevue Campus Sticker,1.988,Low,Google Boulder Campus Sticker,1.97,Low,4,12891,100,General Bundle
Google Bellevue Campus Sticker,1.988,Low,Google NYC Campus Sticker,1.994,Low,4,9821.5,100,General Bundle
Google Black Cork Journal,11.988,Low,Google Pen White,2,Low,4,5040.8,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Bot (Multicolored),9.989,Low,4,6564.8,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Yellow YoYo,3.949,Low,4,5727.5,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,8576,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Maze Pen,1,Low,4,5888.8,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Clear Framed Blue Shades,4.632,Low,4,3795,100,General Bundle
Google Blue Kids Sunglasses,4.987,Low,Google Red YoYo,3.895,Low,4,5380.8,100,General Bundle
Google Bot,9.662,Low,Noogler Android Figure,15.997,Low,4,4359.8,100,General Bundle
Google Boulder Campus Mug,10.454,Low,Google Kirkland Campus Mug,10.934,Low,4,6194,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google Kirkland Campus Sticker,1.992,Low,4,12891,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google NYC Campus Sticker,1.994,Low,4,10229.5,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google Cambridge Campus Sticker,1.997,Low,4,10829.8,100,General Bundle
Google Boulder Campus Sticker,1.97,Low,Google Cambridge Campus Mug,11.932,Low,4,10893.3,100,General Bundle
Google Cambridge Campus Sticker,1.997,Low,Google NYC Campus Sticker,1.994,Low,4,10737.5,100,General Bundle
Google Cambridge Campus Sticker,1.997,Low,Google LA Campus Sticker,1.972,Low,4,10829.8,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Seaport Tote,59.2,High,4,5932.8,100,Add-on Strategy (업셀링)
Google Camp Mug Gray,12.941,Low,Google Packable Bag Black,19.859,Mid,4,6941.5,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Glass Bottle,22.998,Mid,4,3232.5,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google F/C Longsleeve Ash,,,4,2122.7,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Cloud Pen,2.986,Low,4,4852.3,100,General Bundle
Google Camp Mug Gray,12.941,Low,Google Mouse Pad Navy,5,Low,4,3135,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Large Tote White,12.997,Low,4,6630,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Red Speckled Tee,29.944,High,4,4640.8,100,Add-on Strategy (업셀링)
Google Camp Mug Ivory,12.93,Low,Google Glass Bottle,22.998,Mid,4,3290.3,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Perk Thermal Tumbler,19.848,Mid,4,4345.3,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Mural Mug,16.729,Mid,4,2072.8,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google NYC Campus Mug,11.852,Low,4,3064.3,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Speckled Beanie Navy,19.996,Mid,4,6282,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Zip Hoodie F/C,59.99,High,4,3352.8,100,Add-on Strategy (업셀링)
Google Camp Mug Ivory,12.93,Low,Maze Pen,1,Low,4,5073.5,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Google Magnet,7.77,Low,4,2713.5,100,General Bundle
Google Camp Mug Ivory,12.93,Low,Noogler Android Figure,15.997,Low,4,3050.5,100,General Bundle
Google Campus Bike,39.125,High,YouTube Twill Sandwich Cap Black,13,Low,4,3443.5,100,Add-on Strategy (업셀링)
Google Campus Bike,39.125,High,Google Toddler FC Zip Hoodie,34.96,High,4,4589.5,100,Premium Set (VIP 타겟)
Google Campus Bike Tote Navy,10.998,Low,Google Heathered Pom Beanie,14.996,Low,4,5811.3,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,YouTube Jotter Task Pad,2.999,Low,4,2209.5,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Keychain,7.633,Low,4,1292,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google LoveHandle Black,9.994,Low,4,2151.3,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google LA Campus Mug,10.551,Low,4,6695.3,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Speckled Beanie Navy,19.996,Mid,4,6958.3,100,Volume Builder (크로스셀링)
Google Canteen Bottle Black,23.906,Mid,Google Light Pen Green,2.943,Low,4,6818,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Light Pen Blue,2.962,Low,4,6975,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Heathered Pom Beanie,14.996,Low,4,4912.3,100,General Bundle
Google Canteen Bottle Black,23.906,Mid,Google Flat Front Bag Grey,29.997,High,4,3646,100,General Bundle
Google Chicago Campus Bottle,18.604,Mid,Google Chicago Campus Mug,10.769,Low,4,3099.3,100,General Bundle
Google Chicago Campus Mug,10.769,Low,Google PNW Campus Mug,10.531,Low,4,4718.3,100,General Bundle
Google Chrome Dinosaur Collectible,29.333,High,Noogler Android Figure,15.997,Low,4,2560.5,100,Add-on Strategy (업셀링)
Google Clear Framed Blue Shades,4.632,Low,Google Sunglasses,3.974,Low,4,3329.8,100,General Bundle
Google Clear Framed Blue Shades,4.632,Low,Google Clear Framed Gray Shades,4.692,Low,4,6606.3,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Mural Sticker Sheet,2.993,Low,4,6619.3,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Tee Yellow,21.977,Mid,4,4688.3,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Pride Sticker,1,Low,4,3013.5,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Utility Bag Grey,9.973,Low,4,2350,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Speckled Beanie Navy,19.996,Mid,4,7249.8,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Perk Thermal Tumbler,19.848,Mid,4,6445,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Crew Socks,15.996,Low,4,5985.3,100,General Bundle
Google Clear Pen 4-Pack,4.947,Low,Google Pen White,2,Low,4,4674,100,General Bundle
Google Cloud Pen,2.986,Low,Google Perk Thermal Tumbler,19.848,Mid,4,7845.5,100,General Bundle
Google Cloud Pen,2.986,Low,Maze Pen,1,Low,4,5247.5,100,General Bundle
Google Cloud Pen,2.986,Low,Google Pen Grass Green,1.997,Low,4,8993.5,100,General Bundle
Google Crew Combed Cotton Sock,16.989,Mid,Google Heathered Pom Beanie,14.996,Low,4,3474.5,100,General Bundle
Google Crew Combed Cotton Sock,16.989,Mid,Google Perk Thermal Tumbler,19.848,Mid,4,8987,100,Volume Builder (크로스셀링)
Google Crew Combed Cotton Sock,16.989,Mid,Google Crew Striped Athletic Sock,17,Mid,4,1700.8,100,Volume Builder (크로스셀링)
Google Crew Socks,15.996,Low,Google Speckled Beanie Navy,19.996,Mid,4,6132,100,General Bundle
Google Crew Socks,15.996,Low,Google Metallic Notebook Set,5.998,Low,4,4032.8,100,General Bundle
Google Crew Striped Athletic Sock,17,Mid,Google Heathered Pom Beanie,14.996,Low,4,4777.4,100,General Bundle
Google Crew Striped Athletic Sock,17,Mid,Google NYC Campus Sticker,1.994,Low,4,3379.8,100,General Bundle
Google Crew Striped Athletic Sock,17,Mid,Google NYC Campus Mug,11.852,Low,4,2839,100,General Bundle
Google Crewneck Sweatshirt Green,54.908,High,Google Crewneck Sweatshirt Navy,54.971,High,4,3536.3,100,Premium Set (VIP 타겟)
Google Crewneck Sweatshirt Navy,54.971,High,Google Magnet,7.77,Low,4,6354.3,100,Add-on Strategy (업셀링)
Google Crewneck Sweatshirt Navy,54.971,High,Google Packable Bag Black,19.859,Mid,4,6525,100,General Bundle
Google Crewneck Sweatshirt Navy,54.971,High,Google Zip Hoodie F/C,59.99,High,4,1292.8,100,Premium Set (VIP 타겟)
Google Crewneck Sweatshirt Navy,54.971,High,Google Mouse Pad Navy,5,Low,4,5057,100,Add-on Strategy (업셀링)
Google Cup Cap Tumbler Grey,29.988,High,Google Zip Hoodie F/C,59.99,High,4,2037,100,Premium Set (VIP 타겟)
Google Decal,1,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,2855,100,General Bundle
Google Emoji Magnet Set,9.662,Low,Keyboard DOT Sticker,2,Low,4,4962.8,100,General Bundle
Google Emoji Magnet Set,9.662,Low,Google Mural Sticky Note Pad,19.436,Mid,4,4350,100,General Bundle
Google Emoji Sticker Pack,4.999,Low,Google Perk Thermal Tumbler,19.848,Mid,4,8694.5,100,General Bundle
Google F/C Longsleeve Ash,,,Google Heathered Pom Beanie,14.996,Low,4,2139.8,100,General Bundle
Google F/C Longsleeve Ash,,,Google Men's Tech Fleece Grey,88.985,High,4,4603,100,General Bundle
Google F/C Longsleeve Ash,,,Google Seattle Campus Mug,10.777,Low,4,3821.3,100,General Bundle
Google F/C Longsleeve Ash,,,Google Zip Hoodie F/C,59.99,High,4,1671.3,100,General Bundle
Google Felt Refillable Journal,22.299,Mid,Google Light Pen Blue,2.962,Low,4,7950.8,100,General Bundle
Google Felt Refillable Journal,22.299,Mid,Google Laptop and Cell Phone Stickers,2.999,Low,4,3510.5,100,General Bundle
Google Flat Front Bag Grey,29.997,High,Google Thermal Tumbler Navy,17.912,Mid,4,2779,100,General Bundle
Google Glass Bottle,22.998,Mid,Google Large Tote White,12.997,Low,4,8285.8,100,General Bundle
Google Glass Bottle,22.998,Mid,Google Perk Thermal Tumbler,19.848,Mid,4,7466.3,100,Volume Builder (크로스셀링)
Google Glass Bottle,22.998,Mid,Google Metallic Notebook Set,5.998,Low,4,3606.5,100,General Bundle
Google Heather Green Speckled Tee,29.93,High,Google Red Speckled Tee,29.944,High,4,2895.8,100,Premium Set (VIP 타겟)
Google Heathered Pom Beanie,14.996,Low,Google Seattle Campus Mug,10.777,Low,4,6326.3,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Google Sunglasses,3.974,Low,4,5295,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,5283.5,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,Google Red Speckled Tee,29.944,High,4,4833.3,100,Add-on Strategy (업셀링)
Google Heathered Pom Beanie,14.996,Low,Google Metallic Notebook Set,5.998,Low,4,6646.3,100,General Bundle
Google Heathered Pom Beanie,14.996,Low,YouTube Twill Sandwich Cap Black,13,Low,4,3994.3,100,General Bundle
Google Hemp Tote,21.156,Mid,Google Recycled Writing Set,4.698,Low,4,4394,100,General Bundle
Google Hemp Tote,21.156,Mid,Google Metallic Notebook Set,5.998,Low,4,3290.5,100,General Bundle
Google Keychain,7.633,Low,Google Magnet,7.77,Low,4,3706.8,100,General Bundle
Google Kirkland Campus Mug,10.934,Low,Google Seattle Campus Sticker,1.971,Low,4,10132,100,General Bundle
Google Kirkland Campus Sticker,1.992,Low,Google LA Campus Sticker,1.972,Low,4,12891,100,General Bundle
Google LA Campus Mug,10.551,Low,Google NYC Campus Sticker,1.994,Low,4,4725.5,100,General Bundle
Google Land & Sea Cotton Cap,16.999,Mid,Google Land & Sea French Terry Sweatshirt,54.857,High,4,1370.7,100,General Bundle
Google Land & Sea Journal Set,14.997,Low,Google Land & Sea Tote Bag,19.987,Mid,4,5732.8,100,General Bundle
Google Land & Sea Mug,16.968,Mid,Google Land & Sea Tote Bag,19.987,Mid,4,5880.8,100,Volume Builder (크로스셀링)
Google Land & Sea Nalgene Water Bottle,24.972,Mid,Super G Unisex Joggers,36.973,High,4,3592.3,100,General Bundle
Google Lapel Pin,7.706,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,4197,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Recycled Pen Black,2,Low,4,4145.3,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Perk Thermal Tumbler,19.848,Mid,4,7184.8,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Red Speckled Tee,29.944,High,4,3705.8,100,Add-on Strategy (업셀링)
Google Laptop and Cell Phone Stickers,2.999,Low,Google Seattle Campus Sticker,1.971,Low,4,6668,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Pride Sticker,1,Low,4,1616.8,100,General Bundle
Google Laptop and Cell Phone Stickers,2.999,Low,Google Magnet,7.77,Low,4,5900,100,General Bundle
Google Large Tote White,12.997,Low,Google Metallic Notebook Set,5.998,Low,4,6032.5,100,General Bundle
Google Leather Strap Hat Blue,16.985,Mid,Google Navy Speckled Tee,29.997,High,4,1622.5,100,General Bundle
Google Light Pen Blue,2.962,Low,Maze Pen,1,Low,4,5764.8,100,General Bundle
Google Light Pen Blue,2.962,Low,Google Pen Bright Blue,1.998,Low,4,6568.5,100,General Bundle
Google Light Pen Green,2.943,Low,Google Pen Citron,1.967,Low,4,8463.8,100,General Bundle
Google Light Pen Green,2.943,Low,Maze Pen,1,Low,4,4086,100,General Bundle
Google Light Pen Red,2.921,Low,Google Metallic Notebook Set,5.998,Low,4,4049,100,General Bundle
Google Light Pen Red,2.921,Low,Maze Pen,1,Low,4,5764.8,100,General Bundle
Google Magnet,7.77,Low,Keyboard DOT Sticker,2,Low,4,2887.5,100,General Bundle
Google Men's Tech Fleece Grey,88.985,High,Google Women's Grid Zip-Up,62.975,High,4,2943.1,100,Premium Set (VIP 타겟)
Google Mesh Bag Blue,6,Low,Google Metallic Notebook Set,5.998,Low,4,3240.3,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Pride Sticker,1,Low,4,3388.3,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Utility Bag Grey,9.973,Low,4,4273,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Maze Pen,1,Low,4,6872.5,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Recycled Writing Set,4.698,Low,4,4774,100,General Bundle
Google Metallic Notebook Set,5.998,Low,Google Pen Bright Blue,1.998,Low,4,6383,100,General Bundle
Google NYC Campus Ladies Tee,23.962,Mid,Google NYC Campus Sticker,1.994,Low,4,7178,100,General Bundle
Google NYC Campus Mug,11.852,Low,Google Sunnyvale Campus Mug,10.676,Low,4,3825.8,100,General Bundle
Google Navy Speckled Tee,29.997,High,Google Zip Hoodie F/C,59.99,High,4,2043.5,100,Premium Set (VIP 타겟)
Google PNW Campus Lapel Pin,5.667,Low,Google Seattle Campus Mug,10.777,Low,4,10463.5,100,General Bundle
Google PNW Campus Lapel Pin,5.667,Low,Google Seattle Campus Sticker,1.971,Low,4,9517,100,General Bundle
Google Pen Citron,1.967,Low,Google Perk Thermal Tumbler,19.848,Mid,4,7627.3,100,General Bundle
Google Pen Citron,1.967,Low,Google Pen Lilac,1.897,Low,4,5868.8,100,General Bundle
Google Pen Citron,1.967,Low,Google Pen Grey,1.993,Low,4,9346.3,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Perk Thermal Tumbler,19.848,Mid,4,8240.3,100,General Bundle
Google Pen White,2,Low,Google Youth Badge Tee Olive,23.655,Mid,4,5609.3,100,General Bundle
Google Pen White,2,Low,Google Recycled Pen Black,2,Low,4,6177,100,General Bundle
Google Pen White,2,Low,Google Sustainable Pencil Pouch,12.507,Low,4,4166,100,General Bundle
Google Perk Thermal Tumbler,19.848,Mid,Google Speckled Beanie Navy,19.996,Mid,4,4338.8,100,Volume Builder (크로스셀링)
Google Perk Thermal Tumbler,19.848,Mid,Google Red Speckled Tee,29.944,High,4,3432,100,General Bundle
Google Perk Thermal Tumbler,19.848,Mid,Maze Pen,1,Low,4,5353.3,100,General Bundle
Google Premium Sunglasses,18.662,Mid,Super G Unisex Joggers,36.973,High,4,4164.8,100,General Bundle
Google Recycled Pen Black,2,Low,Google Super G Tumbler (Red Lid),27.863,Mid,4,1671.5,100,General Bundle
Google Red Speckled Tee,29.944,High,YouTube Icon Tee Grey,21.99,Mid,4,1782.8,100,General Bundle
Google Red Speckled Tee,29.944,High,Google Speckled Beanie Navy,19.996,Mid,4,5414.8,100,General Bundle
Google Red Speckled Tee,29.944,High,Womens Google Striped LS,,,4,4589,100,General Bundle
Google Red Speckled Tee,29.944,High,Google Women's Microfleece Jacket Black,74.989,High,4,4150,100,Premium Set (VIP 타겟)
Google Seattle Campus Lapel Pin,5.457,Low,Google Seattle Campus Sticker,1.971,Low,4,7532.5,100,General Bundle
Google Speckled Beanie Navy,19.996,Mid,Google Super G Tumbler (Red Lid),27.863,Mid,4,9274,100,Volume Builder (크로스셀링)
Google Sunglasses,3.974,Low,Google Yellow YoYo,3.949,Low,4,4534.9,100,General Bundle
Google Tee Red,19.061,Mid,Google Tee Yellow,21.977,Mid,4,9384.5,100,Volume Builder (크로스셀링)
Google Toddler FC Zip Hoodie,34.96,High,Google Women's Grid Zip-Up,62.975,High,4,4530.3,100,Premium Set (VIP 타겟)
Google Women's Microfleece Jacket Black,74.989,High,Google Zip Hoodie F/C,59.99,High,4,2654.5,100,Premium Set (VIP 타겟)
Google Zip Hoodie F/C,59.99,High,Super G Unisex Joggers,36.973,High,4,2252.6,100,Premium Set (VIP 타겟)
Maze Pen,1,Low,Noogler Android Figure,15.997,Low,4,3991,100,General Bundle
YouTube Crew Socks,15.999,Low,YouTube Transmission Journal Red,15.997,Low,4,1456.3,100,General Bundle
YouTube Jotter Task Pad,2.999,Low,YouTube Play Mug,12.986,Low,4,3046.5,100,General Bundle
#IamRemarkable Journal,7.994,Low,Google Pen White,2,Low,3,4983,100,General Bundle
#IamRemarkable Journal,7.994,Low,Google Mural Sticker Sheet,2.993,Low,3,4773.3,100,General Bundle
#IamRemarkable Journal,7.994,Low,Google Mural Sticky Note Pad,19.436,Mid,3,6325.7,100,General Bundle
#IamRemarkable Journal,7.994,Low,Google Clear Pen 4-Pack,4.947,Low,3,5014.3,100,General Bundle
#IamRemarkable Journal,7.994,Low,Google Light Pen Blue,2.962,Low,3,6229,100,General Bundle
#IamRemarkable Lapel Pin,2.979,Low,Google Lapel Pin,7.706,Low,3,6434,100,General Bundle
#IamRemarkable Lapel Pin,2.979,Low,Google Laptop and Cell Phone Stickers,2.999,Low,3,4516.3,100,General Bundle
#IamRemarkable Lapel Pin,2.979,Low,Google NYC Campus Lapel Pin,5.984,Low,3,10609.3,100,General Bundle
#IamRemarkable Unisex Hoodie,31.932,High,Google Soft Modal Scarf,44.025,High,3,4954.7,100,Premium Set (VIP 타겟)
#IamRemarkable Unisex T-Shirt,11.988,Low,Google Red Speckled Tee,29.944,High,3,2496,100,Add-on Strategy (업셀링)
#IamRemarkable Unisex T-Shirt,11.988,Low,Google Crewneck Sweatshirt Navy,54.971,High,3,987,100,Add-on Strategy (업셀링)
#IamRemarkable Water Bottle,14.998,Low,Google Clear Pen 4-Pack,4.947,Low,3,6158.3,100,General Bundle
#IamRemarkable Water Bottle,14.998,Low,Android Buoy Bottle,7.869,Low,3,8991.3,100,General Bundle
Android Buoy Bottle,7.869,Low,Google Hemp Tote,21.156,Mid,3,8748.3,100,General Bundle
Android Buoy Bottle,7.869,Low,Android SM S/F18 Sticker Sheet,2.999,Low,3,10417.3,100,General Bundle
Android Buoy Bottle,7.869,Low,Google Clear Pen 4-Pack,4.947,Low,3,8209.7,100,General Bundle
