source,medium,sessions,purchased,cvr
(direct),(none),45722,87,0.19
shop.googlemerchandisestore.com,referral,38590,1146,2.97
google,organic,24828,351,1.41
<Other>,<Other>,7679,23,0.3
<Other>,referral,5360,179,3.34
googlemerchandisestore.com,referral,2820,72,2.55
google,cpc,2440,16,0.66
(data deleted),(data deleted),2016,59,2.93
<Other>,organic,1512,10,0.66
analytics.google.com,referral,685,1,0.15
google,referral,516,126,24.42
(direct),organic,314,2,0.64
Partners,affiliate,162,0,0.0
support.google.com,referral,142,4,2.82
sites.google.com,referral,112,13,11.61
creatoracademy.youtube.com,referral,53,0,0.0